groupid,game,crc,name,size_x,size_y,grade,format,notes
1000,1,0x69998DBD,"ASA_ARM_MRC_Bas_Diff_Stack",1024,1024,0,"DXT5",""
1000,1,0xD4CF0C60,"ASA_ARM_MRC_Bas_Diff_Stack",512,512,0,"DXT1",""
1001,1,0x9C64876E,"ASA_ARM_MRC_Bas_Norm_Stack",512,512,0,"ATI2_3Dc","Best choice"
1001,1,0xFA9BE909,"ASA_ARM_MRC_Bas_Norm_Stack",512,512,0,"DXT5",""
1002,1,0x6911FFAD,"ASA_HGR_MRC_Bas_Diff_Stack",512,512,0,"DXT1",""
1002,1,0xD87E7F68,"ASA_HGR_MRC_Bas_Diff_Stack",512,512,0,"DXT5","Best choice"
1003,1,0x53EFC36A,"ASA_HGR_MRC_Bas_Norm_Stack",512,512,0,"ATI2_3Dc","Best choice"
1003,1,0x97A632EC,"ASA_HGR_MRC_Bas_Norm_Stack",512,512,0,"DXT5",""
1005,1,0x538B3779,"ppnorm",512,512,0,"DXT1",""
1005,1,0x33CF7CBE,"cliffs_n",256,256,0,"DXT1",""
1006,1,0x87B4F2C1,"CloudyAftern_u",1024,1024,0,"DXT1",""
1006,1,0x1D1F7F5C,"JUG20_CUBE_u",512,512,0,"DXT1",""
1007,1,0xD81A64B9,"Couch2_01_Emis",512,512,0,"DXT1",""
1007,1,0x88E95683,"Couch2_01_Glow",512,512,0,"DXT1",""
1008,1,0x8BA0217B,"Damaged_Car_01_Spec",512,512,0,"DXT1",""
1008,1,0x0B7D46E2,"Damaged_Car_01_Spec",256,256,0,"DXT1",""
1009,1,0xCC5471C2,"Damaged_Car_01_SPwr",512,512,0,"DXT1",""
1009,1,0x5189D45B,"Damaged_Car_01_SPwr",256,256,0,"DXT1",""
1010,1,0xD2F68253,"Destiny_Ascension_01_Spec",1024,1024,2,"DXT5","Different image"
1010,1,0x5D178194,"Destiny_Ascension_01_Spec",512,512,2,"DXT1","Different image"
1011,1,0x9C64DBE4,"endsky_RAW",256,512,0,"DXT1",""
1011,1,0xCE1B2F0F,"endsky_RAW",256,512,0,"DXT1",""
1012,1,0x2C872E53,"lav40_glass03_opac_m01",512,512,2,"DXT5","Differences - Brightness - Contrast"
1012,1,0xF85D33A1,"end80_glass03_opac_m01",256,256,2,"DXT5","Differences - Brightness - Contrast"
1013,1,0x33EFC967,"Explosion_8x8_Dup",2048,2048,0,"DXT5",""
1013,1,0x932CE52B,"Explosion_8x8",1024,1024,0,"DXT5",""
1014,1,0x5D3FF980,"FireExplosionWisp",2048,2048,0,"DXT1",""
1014,1,0x181BFF92,"wispyFB",1024,1024,0,"DXT1",""
1015,1,0x939BD3F9,"GethCruiserDMGa_Diff",1024,1024,0,"DXT5",""
1015,1,0x91F86496,"GethCruiserDMGa_DifflMap",256,256,0,"DXT5",""
1016,1,0x5E49D4EC,"GethCruiserDMGa_Norm",1024,1024,0,"DXT5",""
1016,1,0x4408C8CE,"GethCruiserDMGa_NormalMap",256,256,0,"ATI2_3Dc",""
1017,1,0x0F361DCE,"GethCruiserDMGa_Spec",512,512,0,"DXT5",""
1017,1,0x146024A8,"GethCruiserDMGa_SPECMap",256,256,0,"DXT5",""
1018,1,0x9134998D,"GethCruiserDMGb_Diff",512,512,0,"DXT5",""
1018,1,0x1156EE06,"GethCruiserDMGb_DIFFMap",256,256,0,"DXT5",""
1019,1,0x678A25C8,"GethCruiserDMGb_Emis",512,512,0,"DXT5",""
1019,1,0x692CD550,"GethCruiserDMGb_EMISSMap",256,256,0,"DXT5",""
1020,1,0x3B4F0080,"GTH_HOP_NKDa_Bas_Norm_Stack",512,512,0,"DXT5",""
1020,1,0x277977C8,"GTH_HOP_NKDa_Bw_Norm_Stack",512,512,0,"DXT5",""
1021,1,0x2A9A4890,"GTH_HOP_NKDa_Bas_Spwr_Stack",256,256,0,"DXT5",""
1021,1,0xEF1AB982,"GTH_HOP_NKDa_Bw_SPwr_Stack",256,256,0,"DXT5",""
1022,1,0x9D79A7BF,"HMF_HED_PROCustom_MKup_01",512,512,0,"DXT5",""
1022,1,0xEB76CE09,"HMF_HED_PROCustom_MKup_02",256,256,0,"DXT5",""
1023,1,0x1F2C3891,"Geth_Pike_Norm",512,512,0,"DXT5",""
1023,1,0x5231082D,"PRO10_GETHPIKE_NORM",512,512,0,"ATI2_3Dc",""
1024,1,0x1C453D0C,"JUG80_CABLE01_DIFF",512,128,0,"DXT1",""
1024,1,0x02957A40,"JUG00_CABLE01_DIFF",256,64,0,"DXT5","Alpha"
1024,1,0x220E6535,"JUG80_CABLE01_SPEC",512,128,1,"DXT1","Brightness, contrast"
