game,crc,name
1,D681D585,ASA_HED_PROMatriarch_Diff_Stack
1,63F4AEAD,ASA_HED_PROMatriarch_Norm_Stack
1,D4CF0C60,ASA_ARM_MRC_Bas_Diff_Stack
1,9C64876E,ASA_ARM_MRC_Bas_Norm_Stack
1,7ABF1407,ASA_ARM_MRC_Bas_Spec_Stack
1,FBDEDE72,ASA_ARM_MRC_Bas_Spwr_Stack
1,6911FFAD,ASA_HGR_MRC_Bas_Diff_Stack
1,53EFC36A,ASA_HGR_MRC_Bas_Norm_Stack
1,EB68D26C,ASA_HGR_MRC_Bas_Spec_Stack
1,BAA6BBD9,ASA_HGR_MRC_Bas_Spwr_Stack
1,077202BD,MRC_HED_PROMatriarch_Diff_Stack
1,2B62C420,Difftest
1,DC2F88C5,EyeMaskTur
1,A7EA37EE,EyeMesk2
1,E5D3E2A1,NormalMap
1,15F03489,NormalMap2
1,109EE976,NormalMap3
1,DC6669BF,TUR_HED_PROBase_Eye_Diff
1,5C664C45,TUR_HED_PROBase_Eye_Norm
1,C57EBDE1,Anchor
1,4A8DA363,AnimTreeBackGround
1,77D2BDB2,CASC_ModuleEnable
1,C2B6AA82,CASC_Cross
1,FA3DC4D2,CASC_DisabledModule
1,EB636048,CASC_ModuleDisable
1,2718156C,CASC_ModuleEnable
1,52CF2736,CASC_None
1,9DEB30CB,CASC_Normal
1,AC03DE17,CASC_Point
1,2E860550,CovergroupIcon
1,2C58F39D,CoverNodeCrouch
1,6652DB58,CoverNodeCrouchLocked
1,818C0922,CoverNodeMid
1,E5FC4436,CoverNodeMidLocked
1,744F9C07,CoverNodeNone
1,103FD113,CoverNodeNoneLocked
1,3ED1BD06,CoverNodeStanding
1,5AA1F012,CoverNodeStandingLocked
1,ED8A37D0,Cross
1,FD7E403E,GreyCheck
1,8B7F9478,Gridpaper
1,F764D5C7,KismetBackground
1,D155728A,MaterialsBackground
1,2052F694,MatineeGreyGrad
1,911C6AF8,MAT_Groups_Anim
1,B7DEE6FC,MAT_Groups_Director
1,F2201383,MAT_Groups_Event
1,F37EE909,MAT_Groups_Fade
1,BF726565,MAT_Groups_Float
1,5917E48E,MAT_Groups_Graph_Off
1,A5DCC89E,MAT_Groups_Graph_On
1,7C7AF61D,MAT_Groups_Left_Off
1,6D2C325F,MAT_Groups_Left_On
1,737607A8,MAT_Groups_Move
1,8851151C,MAT_Groups_Right_Off
1,B82A1C1A,MAT_Groups_Right_On
1,992D79DB,MAT_Groups_Slomo
1,1AE56DEC,MAT_Groups_Sound
1,CB7A2313,MAT_Groups_Vector
1,47F11E2F,MAT_Groups_View_Off
1,08209372,MAT_Groups_View_On
1,1B5A9E2F,PSysThumbnail_NoImage
1,266F6657,PSysThumbnail_OOD
